Nr.;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Eintragsdatum
53;Frau;Bernhild;Borges;;Weißer Berg;175;56348;Bornich;06771/53388047;0176/8245080;bernhild02@live-mail.none;10.04.1982
54;Herr;Hieronymus;Cetinkaya;;Neuland;178;82041;Oberhaching;089/55004273;0171/4029497;hieronymuscetinkaya@ultramail.none;22.04.1995
55;Frau;Karoline;Wittwer;;Straußstraße;10;66904;Brücken;06373/58658978;0174/4206238;karoline16@domain.none;23.02.1996
56;Frau;Werngard;West;;Kastanienweg;26;53533;Aremberg;02691/49146724;0163/1226496;werngard-west@bestmail.none;10.12.2020
57;Frau;Sylvana;Haupenthal;06.01.1997;Renaudstraße;93;17498;Hinrichshagen;03834/90653792;0159/9748926;s_haupenthal@company.none;17.03.2018
58;Frau;Isabella;Spengler;;Keplerweg;99;49453;Barver;05448/77127808;;;20.12.1994
59;Frau;Babett;See;;Wildpfad;89;25588;Oldendorf;04821/99725795;;babett.61@email.none;05.04.1980
60;Herr;Jacob;Rach;;Albaumer Straße;55;74931;Lobbach;06226/59307906;;jacob-rach@spam-mail.none;21.05.2006
61;Herr;Humbert;Schwenke;;Helle Bieke;199;45894;Gelsenkirchen;;0176/6036387;humbert-schwenke@ultramail.none;28.02.1974
62;Herr;Waldemar;Derks;05.01.1972;Am Berghang;146;39638;Roxförde;03907/51706736;;waldemar.derks@private.none;12.12.1983
63;k.A.;Arite;Staub;;Eichheckstraße;99;54636;Wolsfeld;06568/52902495;0161/7700821;a_staub@domain.none;30.09.1964
64;Herr;Thorsten;Leyh;;Erftstraße;190;45891;Gelsenkirchen;;0155/3524455;thorstenleyh@ultramail.none;10.05.2018
65;Herr;Maik;Waters;19.08.1919;Lärchenweg;174;25821;Almdorf;04671/60789043;0158/6279801;maikwaters@net-mail.none;29.01.1999
66;Frau;Unette;Striegl;;Holtkamp;183;55585;Altenbamberg;;0154/5056297;unettestriegl@quickmail.none;12.06.1988
67;Herr;Jens;Mathis;;Wähnerstraße;101;34560;Fritzlar;05622/42137656;;jens-mathis@web.none;30.10.1970
68;Herr;Wilbrandt;Krautz;;Kreuzweg;89;64569;Nauheim;06152/37166777;0151/1353182;w_krautz@funmail.none;15.04.2023
69;Herr;Ottwin;Hillebrecht;;Alter Kirchweg;23;74360;Ilsfeld;07062/81741347;;ottwin.hillebrecht@xyz.none;16.07.1941
70;k.A.;Wilhelmine;Sütterlin;12.04.2004;Alexanderstraße;162;69517;Gorxheimertal;06201/99149817;0166/1973996;wilhelmine.suetterlin@open-mail.none;06.03.2013
71;Frau;Roselette;Kürzinger;;Schultenhof;178;79692;Tegernau;07629/49794882;0161/9672627;roselettekuerzinger@funmail.none;23.05.1943
72;Frau;Svea;Rossel;;Castroper Straße;98;35099;Burgwald;06457/23610394;0169/1778201;svea.12@company.none;18.02.1993
73;Frau;Siegrid;Hennen;;Am Pfad;30;56357;Lollschied;;;s69@web.none;30.04.1976
74;Frau;Catrin;Petzold;31.12.1902;Laader Straße;60;34233;Fuldatal;05607/58738458;;cpetzold@web.none;05.10.1908
75;Frau;Gerthilde;Pospiech;;Endstraße;100;40225;Düsseldorf;0211/96127815;;gerthildepospiech@retromail.none;19.01.2012
76;Herr;Helm;Pinter;;Haltern;68;56283;Kratzenburg;06747/60417492;0151/8834698;h.pinter@company.none;11.03.2002
77;Frau;Alina;Barton;;Auf der Kunn;70;31832;Springe;05041/17242658;0163/1257994;a-barton@retromail.none;07.07.1988
78;Herr;Damian;Liersch;;Varusstraße;161;27412;Wilstedt;;0179/5103003;damian-liersch@quickmail.none;04.11.2002
79;Herr;Heyo;Nicolai;01.03.1966;Hagebuttenweg;40;39387;Hornhausen;;0169/2232111;heyo-66@inter-mail.none;16.02.1980
80;Herr;Gerwald;Seidler;;Tippelstraße;172;55491;Niederweiler;06763/8187533;0150/9591849;gerwald1973@inter-mail.none;06.06.1993
81;k.A.;Marli;Voges;;Neusser Straße;40;45257;Essen;0201/45559293;0166/2101165;m_57@domain.none;21.09.1962
82;Frau;Renata;Holl;10.12.1907;Thielenstraße;186;67294;Ilbesheim;06352/30222251;;renataholl@funmail.none;25.11.1909
83;Frau;Margit;Kuhnen;;Elbinger Straße;9;71737;Kirchberg an der Murr;07144/5584302;;margit_kuhnen@private.none;16.01.1999
84;Frau;Elisabeth;Schlachter;07.10.1971;Im Pesch;79;53498;Waldorf;02636/80671109;0153/9292994;e71@anymail.none;13.05.2010
85;Herr;Laurentius;Berke;;Wohlfahrtstraße;82;54655;Seinsfeld;06563/61257068;0154/6952226;laurentius-berke@goggle-mail.none;26.06.1990
86;Frau;Margaretha;Schneid;;Am Bongert;26;39126;Magdeburg;0391/35813251;;margaretha_schneid@live-mail.none;23.04.1932
87;Frau;Evelyne;Wohlrab;;Karl-Goerdeler-Straße;7;54595;Orlenbach;06551/59478468;0164/9190017;e-wohlrab@ultramail.none;22.03.1997
88;Herr;Wedig;Fiege;;Lina-Schäfer-Straße;147;56357;Rettershain;06772/32155341;;wedig_fiege@ultramail.none;24.01.2009
89;Herr;Thassilo;Hügel;;Regtbrink;109;27243;Prinzhöfte;04244/26929477;0160/9348046;thassilohuegel@kitty.none;10.02.2004
90;Herr;Agilbert;Scheuermann;;Auf der Donau;38;70191;Stuttgart;0711/2105256;;a.scheuermann@trashmail.none;16.07.1999
91;Herr;Wilfrid;Mertins;;Rottes;168 b;67259;Heuchelheim;06233/33551188;0179/5288134;wilfrid_mertins@quickmail.none;04.03.2022
92;Frau;Ilsegret;Baumgärtner;;Pastorskamp;187;87647;Kraftisried;08377/1967287;;;17.07.1984
93;Frau;Gerlinde;Reichow;;Lindenstraße;163;54578;Wiesbaum;06593/16889043;;gerlindereichow@kitty.none;21.04.1993
94;Frau;Margrid;Nowitzki;;Langestraße;152;73453;Adelmannsfelden;07963/50343911;0152/2700631;m-nowitzki@hoster.none;30.03.1944
95;k.A.;Marlon;Bruhn;12.09.1919;An den Weiden;5;08393;Meerane;03764/27423644;0175/1952325;m.bruhn@trashmail.none;10.10.1986
96;k.A.;Hildegund;Jülich;;Hahnestraße;56;54316;Pluwig;06588/37645159;0169/8169142;hildegund.juelich@net-mail.none;02.04.2019
97;Frau;Margit;Küllmer;;Sackgasse;149;46499;Hamminkeln;02852/65510691;0161/6266768;m90@domain.none;03.10.2013
98;Frau;Denise;Sauerwein;08.01.1966;Neuenhofer Straße;115;21149;Hausbruch;;0163/4215881;d.sauerwein@ultramail.none;30.04.2000
99;Frau;Ida;Heidorn;;Andreasstraße;71;90475;Nürnberg;0911/79092365;;i-heidorn@open-mail.none;10.07.1997
100;Frau;Altraud;Roos;;Im Nebelsgarten;34;57629;Lochum;02662/72634944;;a-roos@xyz.none;26.03.2003
101;Herr;Helmo;Dröse;;Schirmerstraße;153;25727;Süderhastedt;;0170/7541597;helmo-droese@anymail.none;29.06.1963
102;Herr;Wendel;Tjaden;;In der Augst;117;82166;Gräfelfing;089/46206303;0179/1826006;;28.07.2021
103;Frau;Sofie;Hüning;22.09.1970;Lohfeldstraße;21;44227;Dortmund;0231/8437045;0156/3535546;sofie_huening@open-mail.none;22.11.1996
104;Herr;Tommy;Ebbers;22.12.1998;Endstraße;33;46119;Oberhausen;0208/95333613;0167/4980934;t-ebbers@email.none;24.02.2006
105;Frau;Friedlinde;Berges;;Kornfeldstraße;107;72224;Ebhausen;;0161/1755238;friedlinde_08@inter-mail.none;15.01.2022
106;Herr;Eckhard;Kohlhaas;;Schinkelstraße;132;32602;Vlotho;05733/98437438;0153/9771545;;22.06.2012
107;Frau;Annekatrin;Hoth;;Bleibergstraße;107;56821;Ellenz-Poltersdorf;;;annekatrin_hoth@mymail.none;31.08.2022
108;Frau;Irmgardt;Paetsch;;Im Maifang;20;89437;Haunsheim;09073/64171437;0162/8353233;irmgardtpaetsch@xyz.none;23.08.1995
109;Frau;Annelene;Straßer;;Westladbergen;191;83119;Obing;;0172/2772761;annelene-strasser@web.none;12.07.1959
110;Frau;Céline;Schmauder;07.05.1960;Waldkrone;86;67746;Unterjeckenbach;06382/18405379;0154/7762958;celine_schmauder@ultramail.none;16.03.2010
111;k.A.;Isedore;Curth;;Pilgerstraße;199;41516;Grevenbroich;02181/43646898;;isedore_curth@domain.none;26.11.1992
112;Herr;Marc;Liesenfeld;;Schachtweg;92;86571;Langenmosen;;;;09.06.1980
113;k.A.;Lea;Scheibe;;Rhenser Straße;29;48653;Coesfeld;02541/75876632;0163/7446989;lea-1916@hoster.none;05.07.1962
114;Herr;Yannis;Hof;20.06.1954;Rudolf-Dietz-Straße;83;79219;Staufen;07633/5450604;0155/3801361;yhof@web.none;10.01.2004
115;Frau;Annica;Montag;;Bitburger Straße;80;71409;Schwaikheim;07195/91998050;0158/8565319;annica.montag@validmail.none;01.05.1996
116;Herr;Innozenz;Adam;14.03.1903;Zum Hahn;121;26919;Brake;04401/82780150;;;19.01.1911
117;Frau;Margaretha;Webster;;Bruchermühlenstraße;6;94357;Konzell;09963/15387867;0168/6764692;margaretha_webster@funmail.none;26.10.2002
118;Frau;Irmelinde;Schimpf;;Werdohler Straße;38;33729;Bielefeld;0521/16062175;0159/3337700;irmelinde-schimpf@funmail.none;20.12.2006
119;Herr;Arno;Niebling;03.03.1906;Weyerstraße;134;54649;Mauel;;0160/2668093;;26.02.1992
120;Frau;Renata;Einhaus;;Am Köppel;183;73441;Bopfingen;07362/14737744;0172/9659590;;31.12.2016
121;Frau;Marah;Seyfried;;Am Forsthaus;158;59889;Eslohe;02973/6153454;0164/8939035;;29.08.1993
122;k.A.;Hannsgeorg;Hartje;;Alte Hofstraße;148;55483;Heinzenbach;06763/93083673;0176/7870302;hannsgeorghartje@open-mail.none;23.09.2018
123;k.A.;Vincent;Bubeck;18.01.1903;Steinbergsmühle;52;24881;Nübel;04622/55990263;;vincentbubeck@anymail.none;04.05.2015
124;Herr;Torge;Carstens;;Adalbert-Stifter-Weg;25;56761;Urmersbach;02653/48670417;0178/5774938;torge-carstens@bestmail.none;27.10.1983
125;Herr;Kurd;Furch;;Orgelsweg;136;73349;Wiesensteig;07335/86981207;0172/2606413;;10.12.1977
126;Herr;Eckehardt;Henz;04.04.1959;Am Vogelsbaum;86;55758;Herborn;06785/72352296;0175/2568893;;17.12.2014
127;Frau;Gertrudis;Krall;22.07.1929;Klingenhagen;56;84186;Vilsheim;08706/33506308;0160/4142432;gertrudis_krall@web.none;09.01.1972
128;Frau;Hannmeike;Gillich;28.12.1919;Blosbergstraße;191;24536;Tasdorf;04394/20720689;0177/7365331;h-gillich@kitty.none;19.07.1922
129;k.A.;Reiner;Walla;;Schleusenstraße;64;48527;Nordhorn;05921/79478922;0168/2362359;reiner-1992@retromail.none;07.08.2019
130;Herr;Heinzwerner;Rudolph;;Hinter dem Bach;41;15806;Zossen;03377/50365529;0172/2473255;;20.09.2022
131;Herr;Eginhard;Allmann;;Am Krausen Baum;15;85405;Nandlstadt;08756/46357225;;eginhardallmann@anymail.none;11.06.1968
132;Frau;Magdalene;Polte;22.09.1990;Im Gänsstück;110;56745;Volkesfeld;02652/36893532;0163/9952788;mpolte@validmail.none;26.12.1994
133;Herr;Fred;Scharf;;Lindenbergstraße;78;24361;Damendorf;04353/66306852;0160/8137617;fred68@funmail.none;17.09.2006
134;Frau;Marlen;Bihler;11.07.1941;Am Schulgarten;32;78052;Villingen-Schwenningen;07721/67387624;0175/4785957;mbihler@anymail.none;16.11.2014
135;Herr;Ignaz;Cerny;;Fliederweg;127;45479;Mülheim an der Ruhr;0208/86608652;0162/4583961;ignazcerny@domain.none;08.10.1939
136;Frau;Herwiga;Kaup;;Luhweg;100;78662;Bösingen;07404/14522579;;herwigakaup@xyz.none;07.11.2016
137;Frau;Almute;Marquart;;Carl-Leverkus-Straße;143;71546;Aspach;;0162/5847004;almute-marquart@mymail.none;21.11.1930
138;Herr;Hildebrand;Maassen;;Rigenzastraße;13c;54314;Paschel;06589/25496410;0166/9396278;hmaassen@retromail.none;28.12.2004
139;Frau;Monique;Vogl;;Haarmoor;41 b;45134;Essen;0201/60978385;0160/8212725;moniquevogl@hoster.none;03.10.2016
140;Frau;Friedrun;Wehmeyer;;Ludwig-Schwamb-Straße;93;15848;Beeskow;;;;12.10.1990
141;Frau;Reintraut;Henn;;Horenfeld;19;23738;Harmsdorf;04363/91662890;;reintraut-henn@domain.none;10.12.1932
142;Frau;Waltrudis;Wolfert;;Distelkamp;171;60325;Frankfurt am Main;069/5006340;;;30.04.2023
143;Herr;Steph;Eschrich;;Im Mühren;158;21649;Regesbostel;;;;19.02.1993
144;Herr;Kai;Ricke;;Hohle Straße;56;83131;Nußdorf am Inn;08034/51860112;0175/9335927;kairicke@live-mail.none;10.04.2008
145;Herr;Gertmund;Hachenberg;;Lippestraße;35;54611;Scheid;;0179/4921790;gertmund_hachenberg@net-mail.none;26.11.2001
146;k.A.;Sieghart;Philipp;;Kronackerstraße;78;84577;Tüßling;;0162/1261085;sieghart_philipp@quickmail.none;15.04.2017
147;Herr;Edelbert;Steinbrück;;Weilburger Straße;153;21709;Himmelpforten;04144/72600375;0167/4490370;;11.03.1944
148;Herr;Norfried;Hetzer;;Bischof-Wehr-Straße;111;49757;Werlte;05951/85421451;0154/4704513;n.hetzer@net-mail.none;29.01.2005
149;Herr;Herwarth;Zimmermann;;Am Ehrenmal;11;79739;Schwörstadt;07762/73442245;;herwarth_zimmermann@justmail.none;23.03.1992
150;Frau;Heidrun;Watzke;14.05.1934;Kolpingstraße;97;55469;Oppertshausen;06761/44519788;0150/5425669;;27.11.1950
151;Herr;Dieter;Ziegenbein;;Alte Jülicher Straße;172;21379;Lüdersburg;04136/74122668;0154/4015812;dieterziegenbein@private.none;31.12.2018
152;Herr;Ekkardt;Steenken;;Adolph-Kolping-Straße;19;57080;Siegen;0271/72580811;;e.1939@domain.none;30.01.2006
153;Frau;Rosie;Pischel;;In der Aspel;117;67273;Bobenheim am Berg;;0167/8551857;r_pischel@ultramail.none;14.03.2023
154;Frau;Rosegunde;Wecker;;Strauch;93;21640;Neuenkirchen;04142/91408043;0176/8387075;r_1984@kitty.none;16.05.2019
155;Herr;Nathanael;Glück;;Löwenstraße;102;53506;Ahrbrück;02643/2757248;0156/2067388;nathanaelglueck@inter-mail.none;12.10.1967
156;Herr;Arnfried;Wende;;Wiesenmauer;142;68309;Mannheim;0621/25406702;0164/1304783;awende@kitty.none;12.01.1988
157;Frau;Clara;Dörries;;Lakenstiege;26;67141;Neuhofen;;0165/5287345;c.doerries@spam-mail.none;20.11.2016
158;Frau;Goldtraud;Spranger;;Olmerich;59;85114;Buxheim;;0155/7354599;g_spranger@inter-mail.none;03.01.1989
159;Herr;Lasse;Baier;;Niedern;2;24601;Ruhwinkel;;0172/3466939;lasse_2016@spam-mail.none;06.09.2021
160;Frau;Patrizia;Tränkle;25.11.2001;Im Heidchen;89;76437;Rastatt;07222/6955724;;;25.07.2019
161;k.A.;Annely;Schlegelmilch;05.12.1905;Westpreußenstraße;14;78132;Hornberg;07833/62173930;0156/9508502;annely_schlegelmilch@spam-mail.none;21.11.1931
162;Herr;Wernhard;Zimmer;;Stebacher Straße;63;79268;Bötzingen;07663/8343353;0173/9255494;wernhard.zimmer@quickmail.none;30.07.1968
163;Frau;Ramona;Faulstich;;Straußstraße;42;36163;Poppenhausen;06658/22358950;0152/9493720;;28.01.2009
164;Herr;Friedberg;Kern;;Weißdornweg;183;80637;München;089/8046285;0157/8380027;f.kern@net-mail.none;09.07.1984
165;Frau;Waldtraud;Steinhauser;18.03.1983;Gerbereiweg;174;95349;Thurnau;09228/19875778;0167/9253091;waldtraudsteinhauser@mymail.none;12.04.2000
166;Frau;Madleine;Siemann;;Schulberg;119;54518;Platten;;;m.siemann@private.none;07.09.1983
167;Herr;Georg;Schöpe;;Mendter Straße;83;40215;Düsseldorf;0211/16262617;0162/7719949;georgschoepe@hoster.none;11.09.1964
168;Frau;Merlinde;Schlageter;;Mülldorfer Straße;133;38350;Helmstedt;05351/35368340;0157/2731887;merlindeschlageter@funmail.none;17.05.1966
169;k.A.;Cedrik;Meschke;;In der Hüll;168;78580;Bärenthal;07466/73652133;0166/9850440;cedrik.meschke@open-mail.none;07.04.1966
170;Herr;Baldur;Grunow;;Münsterstraße;182;23847;Kastorf;04544/25771411;0168/2326032;;03.10.1973
171;Herr;Rainhard;Steinel;;August-Bendler-Straße;66;50969;Köln;;;r_steinel@private.none;09.09.2021
172;Herr;Blasius;Lüdtke;;Bebelstraße;106;44575;Castrop-Rauxel;;0171/7864353;blasiusluedtke@validmail.none;15.11.2020
173;Frau;Clivia;Dörfer;;Kalkstraße;130;49733;Haren;05932/95363512;0179/6680495;clivia.1967@live-mail.none;14.01.1983
174;k.A.;Andreas;Fuerst;16.01.1969;Falkenberger Straße;151;27793;Wildeshausen;04431/12546421;0157/3807978;andreas-fuerst@open-mail.none;18.10.2013
175;Frau;Sibyl;Mecke;;Im Schloß-Steinchen;116;29699;Bomlitz;;;;24.11.1991
176;Herr;Siegfried;Wahlers;;Erikahof;103;26209;Hatten;04482/60242469;;siegfried.wahlers@funmail.none;20.04.2003
177;Herr;Dietbert;Kittner;;Im Moorkamp;58;56424;Bannberscheid;02602/80385667;;dietbert-kittner@private.none;01.06.1993
178;Frau;Gerlinda;Kleine;19.09.1982;Josef-Hardt-Allee;65;54552;Demerath;;0175/6192792;gerlinda.kleine@justmail.none;03.02.1992
179;Frau;Cathleen;Röben;;Braunsheck;62;88630;Pfullendorf;07552/78074192;;;16.10.1931
180;Herr;Eik;Peschke;;Im Kreggenfeld;146;98693;Ilmenau;;0153/7004314;e_peschke@spam-mail.none;27.09.2021
181;Herr;Jan;Coban;;Himmelsbergstraße;47;54655;Malbergweich;;0158/7054247;;23.12.2008
182;Herr;Andy;Staudt;03.11.1909;Kammerwald;150;51674;Wiehl;02262/62136633;0160/7579371;andy.staudt@ultramail.none;04.01.1966
183;k.A.;Ingelore;Vöhringer;01.09.1924;Olfener Straße;196;56745;Volkesfeld;02652/83704824;;ingelore_voehringer@company.none;02.10.1999
184;Herr;Burkardt;Janka;10.02.1977;Im Eichholz;81;48341;Altenberge;02505/31256631;;burkardt-janka@justmail.none;16.09.2006
185;Herr;Joachim;Lindinger;;Hüttenberg;47;91483;Oberscheinfeld;09167/69304582;0167/7323845;joachim.lindinger@validmail.none;05.03.1946
186;Herr;Benjamin;Lessmann;12.06.1969;Hallgarten;183;24887;Silberstedt;04626/34194289;0167/3464293;;31.07.2006
187;Herr;Luitpold;Gutmann;;Grabbestraße;125;56587;Oberhonnefeld-Gierend;02634/54817145;0171/3200801;luitpoldgutmann@mymail.none;18.09.2000
188;Frau;Bernadette;Rimkus;;Im Broich;59;54597;Seiwerath;06551/33433489;0162/6508867;bernadette_rimkus@live-mail.none;07.05.1978
189;Herr;Eckehard;Goede;;Wehrer Straße;65;89195;Staig;07346/64184148;0159/2642864;;30.11.1999
190;Frau;Adolfine;Glanz;;Am Hennengärtchen;106;91099;Poxdorf;09133/60929579;0157/5556233;a.glanz@justmail.none;06.07.1991
191;Frau;Jana;Romer;20.07.1950;Hünxer Heide;52;73061;Ebersbach an der Fils;07163/95983199;0157/2827846;j-romer@company.none;27.09.1954
192;Frau;Anika;Eschenbach;;Verdistraße;32;57638;Neitersen;02681/40799779;0164/1362689;a1935@live-mail.none;11.12.1961
193;Herr;Bert;Gutberlet;12.12.1923;Wörthstraße;21;86698;Oberndorf am Lech;09090/45058257;0179/6545517;b-gutberlet@quickmail.none;11.02.1964
194;Frau;Rita;Tietz;;Strutweg;137;29413;Tylsen;03901/84973322;0155/5997582;r2007@net-mail.none;08.11.2019
195;Frau;Irmlinde;Dietze;16.01.1965;Finkenkamp;108;54612;Lasel;;0177/8930517;irmlinde.1965@xyz.none;23.06.1999
196;Frau;Jana;Heller;;Fürstenbergstraße;87;31632;Husum;;0166/3806589;j_heller@company.none;03.06.1917
197;Frau;Jana;Kirmse;;Wiesengrundstraße;34;67136;Fußgönheim;06237/22204988;0166/6194514;j-1985@anymail.none;12.04.1992
198;Herr;Enno;Gölz;;In der Wesser;18;24250;Warnau;;;enno-goelz@mymail.none;02.03.1957
199;Frau;Antja;Esau;;Friedrich-Ebert-Platz;89;46485;Wesel am Rhein;0281/70303676;0160/1240335;;29.03.1957
